시리얼,전력량1 (Wh),조도1 (%),등록일시,구분
KCN-0730,10,87,2023-06-04 20:00,일반군
KCN-0730,61,11,2023-06-04 21:00,일반군
KCN-0730,55,40,2023-06-04 22:00,일반군
KCN-0730,0,0,2023-06-04 23:00,일반군
KCN-0730,23,82,2023-06-05 0:00,일반군
KCN-0730,23,82,2023-06-05 1:00,일반군
KCN-0730,23,82,2023-06-05 2:00,일반군
KCN-0730,23,82,2023-06-05 3:00,일반군
KCN-0730,23,82,2023-06-05 4:00,일반군
KCN-0730,23,82,2023-06-05 5:00,일반군
KCN-0730,23,82,2023-06-05 6:00,일반군
KCN-0730,23,82,2023-06-05 7:00,일반군
KCN-0730,23,82,2023-06-05 8:00,일반군
KCN-0730,23,82,2023-06-05 9:00,일반군
KCN-0730,23,82,2023-06-05 10:00,일반군
KCN-0730,23,82,2023-06-05 11:00,일반군
KCN-0730,23,82,2023-06-05 12:00,일반군
KCN-0730,23,82,2023-06-05 13:00,일반군
KCN-0730,23,82,2023-06-05 14:00,일반군
KCN-0730,23,82,2023-06-05 15:00,일반군
KCN-0730,23,82,2023-06-05 16:00,일반군
KCN-0730,23,82,2023-06-05 17:00,일반군
KCN-0730,23,82,2023-06-05 18:00,일반군
KCN-0730,23,82,2023-06-05 19:00,일반군
KCN-0730,23,82,2023-06-05 20:00,일반군
KCN-0730,23,82,2023-06-05 21:00,일반군
KCN-0730,23,82,2023-06-05 22:00,일반군
KCN-0730,23,82,2023-06-05 23:00,일반군
KCN-0730,23,82,2023-06-06 0:00,일반군
KCN-0730,23,82,2023-06-06 1:00,일반군
KCN-0730,23,82,2023-06-06 2:00,일반군
KCN-0730,23,82,2023-06-06 3:00,일반군
KCN-0730,23,82,2023-06-06 4:00,일반군
KCN-0730,23,82,2023-06-06 5:00,일반군
KCN-0730,23,82,2023-06-06 6:00,일반군
KCN-0730,23,82,2023-06-06 7:00,일반군
KCN-0730,23,82,2023-06-06 8:00,일반군
KCN-0730,23,82,2023-06-06 9:00,일반군
KCN-0730,23,82,2023-06-06 10:00,일반군
KCN-0730,23,82,2023-06-06 11:00,일반군
KCN-0730,23,82,2023-06-06 12:00,일반군
KCN-0730,23,82,2023-06-06 13:00,일반군
KCN-0730,23,82,2023-06-06 14:00,일반군
KCN-0730,23,82,2023-06-06 15:00,일반군
KCN-0730,23,82,2023-06-06 16:00,일반군
KCN-0730,23,82,2023-06-06 17:00,일반군
KCN-0730,23,82,2023-06-06 18:00,일반군
KCN-0730,23,82,2023-06-06 19:00,일반군
KCN-0730,23,82,2023-06-06 20:00,일반군
KCN-0730,23,82,2023-06-06 21:00,일반군
KCN-0730,23,82,2023-06-06 22:00,일반군
KCN-0730,23,82,2023-06-06 23:00,일반군
KCN-0730,23,82,2023-06-07 0:00,일반군
KCN-0730,23,82,2023-06-07 1:00,일반군
KCN-0730,23,82,2023-06-07 2:00,일반군
KCN-0730,23,82,2023-06-07 3:00,일반군
KCN-0730,23,82,2023-06-07 4:00,일반군
KCN-0730,23,82,2023-06-07 5:00,일반군
KCN-0730,23,82,2023-06-07 6:00,일반군
KCN-0730,23,82,2023-06-07 7:00,일반군
KCN-0730,23,82,2023-06-07 8:00,일반군
KCN-0730,23,82,2023-06-07 9:00,일반군
KCN-0730,23,82,2023-06-07 10:00,일반군
KCN-0730,23,82,2023-06-07 11:00,일반군
KCN-0730,23,82,2023-06-07 12:00,일반군
KCN-0730,23,82,2023-06-07 13:00,일반군
KCN-0730,23,82,2023-06-07 14:00,일반군
KCN-0730,23,82,2023-06-07 15:00,일반군
KCN-0730,23,82,2023-06-07 16:00,일반군
KCN-0730,23,82,2023-06-07 17:00,일반군
KCN-0730,23,82,2023-06-07 18:00,일반군
KCN-0730,23,82,2023-06-07 19:00,일반군
KCN-0730,23,82,2023-06-07 20:00,일반군
KCN-0730,23,82,2023-06-07 21:00,일반군
KCN-0730,23,82,2023-06-07 22:00,일반군
KCN-0730,23,82,2023-06-07 23:00,일반군
